term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
Arcadian,Brand, Embassy Suites,82.4656835973,2.2090038725e-05,4,1959,"We are a much older hotel competing with new hotels continually being added.  This makes our jobs much harder.  We hear all the time that our hotel is dated and worn.  We haven't had a renovation since 2008, but we do update some items each year.    New carpet in the suites.  Pop of colorful artwork (2) on the huge dark blue wall in breakfast to make it warm and inviting instead of cold and dated.  Added amenities to make up for the dated hotel...shuttle service to and from the Phoenix Convention Center (we use to provide it for many years).  This would give us more group business.",More hotel security  Arcadian Garden upgraded  Comparing to all the comp sets in downtown Portland our lobby needs an open restaurant and/or bar for a more livelier ambiance,"More up to date P.O.S. systems, outdated computers and software, LISTEN TO YOUR Internet Telecommunications DEPARTMENT!!!!!!   Invest in the most advanced technology and have built in redundancy.",1963
Suites,Brand, Embassy Suites,17.1072428739,5.20293227385e-29,85,39,"What I like the most is definitely the culture we have created here at Embassy Suites.  Since Gus has taken over as GM, we definitely try more, experiment more, create more, recognize more, etc.  Every day is a good day.  Even when terribly busy we have each other for support.  I love working here!",to rase our pay for all the bellman at the Embassy suites D.C. Convention center  hotel. because its not fare how we have to give the carts away to the guest if they complain about taking the carts up them selves with out our help. We still have bills that need to be paid and the situation with the carts is not helpful,"Provide employees who work 40 hour weeks with full PTO and not partial.    We should retrain the staff to refer to the rooms as ""suites"", since this is Embassy Suites. Indstead of saying, ""your room will be ready"" say ""your suite is ready"".. or ""Can I show you to your suite"". It will have a positive impact on the overall guest experience including the guests first impression of the property.",124
shoes,Brand, Embassy Suites,4.89203207781,5.78922680138e-06,72,1299,"INCREASE SALARY,PROVIDE WORKING SHOES,UNIFORMS AND ETC.","INCREASE SALARY,FREE MEALS AND PROVIDE SAFETY SHOES AND UNIFORMS.",I believe it looks very unprofessional when some employees do not follow dress code and wear the shirts provided by the company. Managment really needs to make sure these employees do so,1371
comp,Brand, Embassy Suites,4.75763559215,3.34803646264e-05,63,0,like working comp breakfast,"For breakfast comp, there are numerous times when people who are not guests come and take food/plates outside and leave. If there could somehow be a way to control that? When I stayed at the Embassy in Las Vegas, Nevada they had someone greeting &asking for your room number and checking you off the list.",Comp Bar needs improvement with our beer machine.,63
renovated,Brand, Embassy Suites,3.80302909793,3.66779744687e-06,121,3329,"The morale at this property has been pretty low for a while. Everyone I talk to seems to be stressed to a certain degree from issues we have. First off is the renovation. I know that it is a struggle to keep everyone happy, but the company that has done the renovation has made so many mistakes and that has greatly affected the desk staff. Guests come to us with their complaints and we have to try to resolve these issues. I feel like the renovation process has just been executed very poorly and Hilton hasn't seemed to step in and intervene to help, which is disappointing. Another issue we constantly face is cleanliness of the property itself, this one is just getting to the point of being ridiculous. We get sooo many complaints from guests in house and through the SALT surveys. This is something that could be fixed but it doesn't seem to be happening. This is probably one of the most irritating issues this property is facing right now. The newly renovated rooms are having complaints due to not properly being cleaned. You can go in there and see dried drywall paste and putty on the walls and floors. I've also had it happen many times that guests do not have the supplies that should be in there at check in, i.e. hairdryers, conditioner, shampoo, and soap. This is a huge oversight at this level of a property. I've been told it's due to budget, which is not a good excuse. If you have to go over budget to buy the necessities then do it. We should not be running out of soap, shampoo, toilet paper, tooth paste, and other basic supplies. I get the same complaint from the kitchen. They say they don't have the supplies they need like eggs, milk, creamers and other such items due to budget and I find this to be ridiculous. Of the hotels I've worked at, this has not been an issue. It's things like what's mentioned above that has the staff at the desk at a low morale. Management needs to learn to listen to complaints from the desk so we can do our jobs without the stress.","Have security and/or guard at entrance 24/7... it will eliminate a lot of problems such as: homeless coming in the hotel urinating in bathrooms or stairs, clientele who don't have guest suites but use facilities such as pool and comp services such as breakfast, evening reception. Even if they get a guest suite they invite the whole neighborhood and have more than 6 people in guest suite (8, 10, 20) creating an excessive work for housekeeping (cleaning rooms), breakfast (long lines), evening reception (long lines) and destroying the rooms ... leaving stains in carpet, etc ... not only that but in addition steeling pillows, blankets, towels from pool/guest suites, etc. If they use F&B outlets, they don't tip or find a way to complaint so they can get a free meal.  It also creates a  parking problem because there are a lot of non-registered cars. In addition they constantly break the gate pole, so there is free entrance to everyone.   There has been many fights and calls to the police because the trouble that this type of clientele creates.  The hotel is going through renovation and is investing a lot of money in new look. PLEASE CONSIDER TO INVEST IN A SECURITY GUARD at entrance, so this type of clientele won't destroy the new renovated hotel or chase away the guests that are paying for their accommodations.  There is no security at all at this hotel... would hate for something bad to happen so management will finally react and have security up front/entrance to control entrance and exit.","This building is in serious need of renovations, it is the only issue that both the employees and the guests seem to have. Rooms are falling apart with old worn out furniture, its a miracle that we can get the scores that we even have on the salt cite its only because of the service that the staff here provides that it gets overlooked as much as it is.",3450
increase salary,Brand, Embassy Suites,3.1620277453,2.40736054281e-06,187,3576,increase salaries,increase salary,increase salary,3763
renovation,Brand, Embassy Suites,2.95744915188,1.50569866719e-13,549,2954,"I don't believe we need many improvements in the way we do things on our property, but the property itself is badly in need of an upgrade/renovation. The lack of investment in the property is really beginning to show and impact our ability to deliver our guests the experience they expect when visiting our hotel.","More comprehensive PIP/renovation reviews.  When a property consistently fails QA audits due to condition and the guest feedback is that the staff is great, but the property has to be renovated for them to return - should be a red flag to the owner/operator.  Situations like this can make it difficult to keep the team members motivated.","Have security and/or guard at entrance 24/7... it will eliminate a lot of problems such as: homeless coming in the hotel urinating in bathrooms or stairs, clientele who don't have guest suites but use facilities such as pool and comp services such as breakfast, evening reception. Even if they get a guest suite they invite the whole neighborhood and have more than 6 people in guest suite (8, 10, 20) creating an excessive work for housekeeping (cleaning rooms), breakfast (long lines), evening reception (long lines) and destroying the rooms ... leaving stains in carpet, etc ... not only that but in addition steeling pillows, blankets, towels from pool/guest suites, etc. If they use F&B outlets, they don't tip or find a way to complaint so they can get a free meal.  It also creates a  parking problem because there are a lot of non-registered cars. In addition they constantly break the gate pole, so there is free entrance to everyone.   There has been many fights and calls to the police because the trouble that this type of clientele creates.  The hotel is going through renovation and is investing a lot of money in new look. PLEASE CONSIDER TO INVEST IN A SECURITY GUARD at entrance, so this type of clientele won't destroy the new renovated hotel or chase away the guests that are paying for their accommodations.  There is no security at all at this hotel... would hate for something bad to happen so management will finally react and have security up front/entrance to control entrance and exit.",3503
travel benefits,Brand, Embassy Suites,2.9183061547,7.64878826281e-07,249,2867,Go Hilton Program,The health benefits and Go Hilton program,"I like the benefits the advance scheduling that lets you know tyour schedule ahead of time. The go Hilton program is really amazing benefit , I really enjoy how we can accumulate the paid time off hours . I feel there is so many benefits for working with Hilton .",3116
more money,Brand, Embassy Suites,2.82416724648,1.14641366679e-09,431,5855,"A partnership to gain a discount on car rentals would be a great addition to the Go Hilton Travel Program. Currently the discount we receive through National is next to nothing. Pretty much every other car rental company is cheaper.  Resort Fees and Onsite Hotel Parking should be waived for team members on the travel program.  Every hotel should have a Human Resources Contact. Currently our hotel uses the General Manager as the HR person. This is a serious conflict of interest and she accomplishes nothing pertaining to human resource issues. Contacting corporate HR is also useless because you must leave your information and you cannot remain anonymous.   Schedules should be received in a timely manner. No departments should be excluded. Currently every other department gets their schedules at least a week in advance. If our department is lucky we will get it one to two days ahead of time.   Considering we must be open on holidays it would be great if we could receive time and half for holiday pay. Many people request holidays off and as an incentive a higher paid wage would be really appreciated. And the time and a half rate should be our PTO pay rate. Not our hourly under minimum wage rate.  The associates in our department our paid a minimum tip wage which is less than your regular minimum wage. Our PTO pay HAS NEVER INCREASED. This should be changed as we receive raises on our regular hourly tip wage. I.e. if I receive a ten cent raise on my $5/hour wage I should receive the same ten cents on my PTO pay.   Also we should not be bothered on our time off. If my manager is constantly texting, emailing, and making me take training on my time off I should be compensated for it.   These surveys should be completely anonymous and we should not be forced to do them on our managers computers in their offices while they are present and telling you to hurry up. How can you expect to get honest feedback?","I personally think that there should be more incentives, higher pay if you have been here longer. Higher raises, more opportunities to make more money.  Things such as designated events to drive to and from for a set rate, the ability to tell people that we work on tips in our shuttle.",Get paid more money.,6286
page,Brand, Embassy Suites,2.79976086287,4.9503775411e-05,183,577,Individual departments to put more emphasis on sharing information within their departments from top to bottom to ensure everyone is on the same page,"Communication is a struggle here, and it goes in both directions. Some times things aren't communicated properly (either without enough notice or not communicated to the right people) other times when the communication is there people aren't receptive to it, or it doesn't get passed on to the entire department. I believe there should be better emphasis on distribution of information. Can we start a private Embassy Suites employee facebook page where all employee info is shared & employees can communicate with each other?","I wish we challenged ourselves to make the pie bigger rather than fighting for bigger pieces of the pie as if it were a zero-sum game.  More sharing of information and best practices would make us stronger.      First, more sharing of leads and opportunities (via a reformed SCOUT program) would make us better - we know we are not going to convert at least 95% of the leads we receive, so why aren't we completely opening up the books?  Because we might lose one or two leads?  We are failing to realize our full potential.  Let's make a collective agreement that every Hilton-managed hotel in Chicago is copied on every lead every time.        Second, the different levels of access to information and insight are staggering across the properties.  I suggest some sort of mandatory regional/area strategic discussion with GMs, DOSMs, and DORMs involved so managed assets (including Luxury) are all 100% informed and 100% on the same page.  At a minimum, let's all sit in a room and talk-through each other's 2018 and 2019 CSP/CAPs.  While some of our challenges are unique, a lot of them overlap and it cannot hurt to have a unified game plan where possible.      While I stop well short of fully embracing the Marriott sales model (I think it is important to have an onsite sales team to best understand the nuances of each property and maintain cohesion with operations), it should not be lost on us that lead/strategy-sharing is where our biggest competition is going post Mar-Wood merger.  They are sharing like never before while we are still doing things the way we have always done them.  Let's be stronger together!",760
front desk,Brand, Embassy Suites,2.52247973356,1.66423345847e-08,476,1155,"The corporates need to investigate  our manager here in the front desk. They want high score for the Salt but if you can see they are not helping there staff if they needs help. Even we are so busy assisting some guest they are in the back office chatting. Even the phone's keeps ringing they don't even pick up the phone to answer. Most of the managers pass there reports to the front desk. They are not fair treating their employees ""friends of friends"" here. Sometimes we have ideas to share we are scared because they don't even count on. They are unfair and don't recognize people who works so hard that's why people are leaving because they don't know how to handle their people.",better pay especially at the front desk. Should not be under $10 for what we have to deal with.,"I enjoy the people I work with. They make all the craziness that is working for this property worth it. In the last two years we have been through a renovation and several management changes but we have always been there for each other. Without my fellow GSAs and Sups at the front desk, there is no way I would have lasted as long as I have. I feel like I have a team above me that for the most part supports my career growth, and are willing to assist me in any way they can to help me move onto the next position.",1631
better pay,Brand, Embassy Suites,2.1444976822,9.22947697308e-06,466,8080,"A partnership to gain a discount on car rentals would be a great addition to the Go Hilton Travel Program. Currently the discount we receive through National is next to nothing. Pretty much every other car rental company is cheaper.  Resort Fees and Onsite Hotel Parking should be waived for team members on the travel program.  Every hotel should have a Human Resources Contact. Currently our hotel uses the General Manager as the HR person. This is a serious conflict of interest and she accomplishes nothing pertaining to human resource issues. Contacting corporate HR is also useless because you must leave your information and you cannot remain anonymous.   Schedules should be received in a timely manner. No departments should be excluded. Currently every other department gets their schedules at least a week in advance. If our department is lucky we will get it one to two days ahead of time.   Considering we must be open on holidays it would be great if we could receive time and half for holiday pay. Many people request holidays off and as an incentive a higher paid wage would be really appreciated. And the time and a half rate should be our PTO pay rate. Not our hourly under minimum wage rate.  The associates in our department our paid a minimum tip wage which is less than your regular minimum wage. Our PTO pay HAS NEVER INCREASED. This should be changed as we receive raises on our regular hourly tip wage. I.e. if I receive a ten cent raise on my $5/hour wage I should receive the same ten cents on my PTO pay.   Also we should not be bothered on our time off. If my manager is constantly texting, emailing, and making me take training on my time off I should be compensated for it.   These surveys should be completely anonymous and we should not be forced to do them on our managers computers in their offices while they are present and telling you to hurry up. How can you expect to get honest feedback?",better pay  I have been here a long time  but I since minimum wage  increased I make  pretty much what new employee's make in my department  better benefits coverage a little more with not such high rates  shuttle differential pay  communication between departments  sales  and catering  to our department,Better pay rate,8546
housekeeping,Brand, Embassy Suites,2.12939558585,1.0814103645e-05,469,1829,I feel that Housekeeping is the most important department to a hotel business. If your hotel is not up to standards or you don't have what you need when you travel your going to get a lot of angry guest and bad reviews and people will not stay at your hotel. We are a downtown hotel so when people book our hotel their expectations are higher then to them booking a hotel in our local areas. which we all as employees should understand that as well. Housekeeping is unorganized we need more staff in housekeeping it is starting to be overwhelming when you try to save money and overwork one individual in each section of housekeeping . sometimes it be so much laundry that needs to be clean and our machines half work or dryer machines are out and they do temporary fixes to get them back running. With our housekeepers you giving the girls a time limit to be done by the end of the day and the girls are doing basic cleaning rushing through the rooms an attend to forget things.We are all humans we can be forgetful and make mistakes but those mistakes could be prevented a lot if our housekeepers were not so overwhelmed an stressed due to the amount of rooms they are doing a day. Our rooms are not regular rooms as the other hotels we have suites which their is more space to detail clean more items as refrigerator and microwave to clean. In other hotels its just the room bathroom and bed. And they give you 14 credits. Its a difference. Plus the new rooms are more difficult than the older rooms cause now you have carpet and hardwood floors so you are doing double work on cleaning the new rooms with cleaning the floors. We need vinegar for the water stains because the water in the hotel is hard. we need to find what product would be best to use on the floors because our product is starting to discolor the floors that are being newly renovated. We need to have all items like soap laundry bags toilet paper shampoo conditioner lotion over stocked. So we don't run out during big events.,"I suggest the housekeeping supervisors to take care of calls that are towards housekeepers. many simple tasks are stacked on house mans constantly and they don't have the time to tell the housekeepers which rooms need service, checking out, staying over, etc.",easy carts to push (housekeeping)  upgrade rooms  more laundry rooms as ice machines,2298
supplies,Brand, Embassy Suites,2.11450470762,3.01692049702e-05,429,1650,"we need standards with how much materials each employee get.  we need a rule to ensure we ALL get the same supplies.  when you call laundry for supplies they scream at you.  some ladies come in early and take all the linen/glasses and supplies, when I come in at 8am everything is gone.  we need more rules in the department.",There are consistently poor performers that just get by. It is frustrating to see this be allowed and makes you not want to give your all because you may be the only person doing it. Pool towels!!!!!! I get asked all day long on something I have no control over. Possibly have an overnight laundry attendent to stay up on all laundry so we never run out of towels. This is unacceptable for a resort like this. We should also have the basic supplies to do our job. It is not efficient to have to try and run to get things that we need week after week. Run out of things too often.,"The morale at this property has been pretty low for a while. Everyone I talk to seems to be stressed to a certain degree from issues we have. First off is the renovation. I know that it is a struggle to keep everyone happy, but the company that has done the renovation has made so many mistakes and that has greatly affected the desk staff. Guests come to us with their complaints and we have to try to resolve these issues. I feel like the renovation process has just been executed very poorly and Hilton hasn't seemed to step in and intervene to help, which is disappointing. Another issue we constantly face is cleanliness of the property itself, this one is just getting to the point of being ridiculous. We get sooo many complaints from guests in house and through the SALT surveys. This is something that could be fixed but it doesn't seem to be happening. This is probably one of the most irritating issues this property is facing right now. The newly renovated rooms are having complaints due to not properly being cleaned. You can go in there and see dried drywall paste and putty on the walls and floors. I've also had it happen many times that guests do not have the supplies that should be in there at check in, i.e. hairdryers, conditioner, shampoo, and soap. This is a huge oversight at this level of a property. I've been told it's due to budget, which is not a good excuse. If you have to go over budget to buy the necessities then do it. We should not be running out of soap, shampoo, toilet paper, tooth paste, and other basic supplies. I get the same complaint from the kitchen. They say they don't have the supplies they need like eggs, milk, creamers and other such items due to budget and I find this to be ridiculous. Of the hotels I've worked at, this has not been an issue. It's things like what's mentioned above that has the staff at the desk at a low morale. Management needs to learn to listen to complaints from the desk so we can do our jobs without the stress.",2079
na,Brand, Embassy Suites,2.02405254271,2.16894357705e-07,782,10,na,na,na,792
wages,Brand, Embassy Suites,1.88646988621,2.02888381595e-05,749,9348,"A partnership to gain a discount on car rentals would be a great addition to the Go Hilton Travel Program. Currently the discount we receive through National is next to nothing. Pretty much every other car rental company is cheaper.  Resort Fees and Onsite Hotel Parking should be waived for team members on the travel program.  Every hotel should have a Human Resources Contact. Currently our hotel uses the General Manager as the HR person. This is a serious conflict of interest and she accomplishes nothing pertaining to human resource issues. Contacting corporate HR is also useless because you must leave your information and you cannot remain anonymous.   Schedules should be received in a timely manner. No departments should be excluded. Currently every other department gets their schedules at least a week in advance. If our department is lucky we will get it one to two days ahead of time.   Considering we must be open on holidays it would be great if we could receive time and half for holiday pay. Many people request holidays off and as an incentive a higher paid wage would be really appreciated. And the time and a half rate should be our PTO pay rate. Not our hourly under minimum wage rate.  The associates in our department our paid a minimum tip wage which is less than your regular minimum wage. Our PTO pay HAS NEVER INCREASED. This should be changed as we receive raises on our regular hourly tip wage. I.e. if I receive a ten cent raise on my $5/hour wage I should receive the same ten cents on my PTO pay.   Also we should not be bothered on our time off. If my manager is constantly texting, emailing, and making me take training on my time off I should be compensated for it.   These surveys should be completely anonymous and we should not be forced to do them on our managers computers in their offices while they are present and telling you to hurry up. How can you expect to get honest feedback?","Bellman/valet should receive an hourly pay increase. The reason being that Austin has a HUGE cost of living. the cheapest one bedroom apartments in the area are around 1000 average. Earing 6$ an hr, after taxes and especially after dental and insurance, my monthly wage is around 680$ Now that Uber and Lyft have returned the shuttle is being used much less frequently. Some nights bellman/valet only make 10-20$ total in tips. Over the summer our tips dropped tremendously. When you have a night where you only make 10-20$ in tips, that averages out to around 7 something an hour. Usually when tips are this low they continue for weeks this way.   If the bellman's wages were increased to say at least 10$ an hour I can GUARANTEE the moral and happiness of the bellman/valet would change drastically. There have been many days where we all are extremely upset/worried about rent etc... An hourly increase would do wonders.","The minimum wage is increasing yearly till 2020, reaching $15 per hour in California.  I believe the wage in certain positions that required more experience and have more responsibilities should coincide with the yearly minimum wage increase as well as annual performance wage increase.  As of now only lower tier positions receive minimum wage compensation plus annual performance increase.  If this continues as is.  by 2020 a newly hired cashier can make as much as someone in a lead/supervision position that has been with the company several years.      Also highly suggested is holiday pay,  we work in a industry that work all year round.  Holiday pay would be a great incentive to compensate having to work on a big holiday where often is the busiest work day in the calendar year.",10097
coworkers,Brand, Embassy Suites,1.82004340752,1.46407943682e-08,1392,9558,"I love the fact that I enjoy coming to work and look forward to it. I enjoy working with my coworkers in all departments, not just mine. Everybody is friendly and has made me feel welcome since my first day.","I love that I work for a World Famous Respected Employer.  All My Managers are super friendly and understanding  I love the people I work with, at our property we have a very family like atmospere.   I love the benefits offered to employees.  I like that i work in a safe, clean environment  I love the travel benefits.",i really thinks the supervisors needs more skills on how to talk to their co workers and more training on how to conduct themselves more professionally  help out when the workloads backups  more guests are courtesy to the workers than the coworkers are to each other,10950
n/a,Brand, Embassy Suites,1.59739822949,2.3097060546e-05,1334,1597,"I think that the g drive needs to be organized so that anyone can find what they need. In essence, we have a lot of information that needs to be relayed to guests, and currently, our departments access to hotel information is a hot mess. The idea I would like to see is transparency. To be fair, everyone is helpful and friendly, and I love asking questions, but if I am asked for the square footage of the ballroom, I might find it on the website, and not being able to answer a simple question sometimes frustrates me, especially when the person who knows is not available. I have been to every department since starting, and knowledge definitely flows between employees, and to be fair, having everything in writing is not as fun as talking with someone in person, but a great environment should be made up of both aspects, at least to a certain extent. We don't need SharePoint, but we should try to accomplish the same idea.",n/a,N/A,2931
people I work,Brand, Embassy Suites,1.47769379599,6.57322492628e-08,3408,13075,"What I like most about working here is free lunch and benefits of course and the fact we get discounts on hotels and we can travel at anyone in the world and also once we get a certain amount of points I think we get an free stay at the hotel. also using pto and when we get housekeeping week hopefully its better next year , like the fact you can move up in the company and can grow there always doing fun events to make us stay so yes all the small incentives make me love working","what i like most about working here is communicate with the guest and to work with my coworkers.my coworkers are actually nice people to work with even if they have issues with their life.i like the environment i work at,its an amazing place and i'm also comfortable working with my manager and everyone.",What I like most about working here is the people and the environment. I feel safe everytime I come into work and I feel comfortable with the people I work with.,16483
hamptonality,Brand, Hampton Inn,167.602011494,2.15238463281e-05,3,5195,The challenge of and goal of creating a hotel team that is proud to be here and is a true representation of Hamptonality.,"I like making a difference in a guests day. I like shaping their experiences with us, that reinforce the ideas of 'Hamptonality"" and Hilton values. I like that no matter what is happening behind the scenes, our team members always leaves a great lasting impression on almost every guest.","i like and i m proud working here because in my hotel are elegance, high services, nice people and guests. my general manger it s a man with open mind and in the future i will have oportunites to work in other countries at Hilton or at the hotels with 5 stars.",5198
Hampton,Brand, Hampton Inn,74.4897828863,2.21539059206e-21,27,0,love the work that I do at the hampton,We have great people that work hard for the Hampton Inn and Suites.,"Plenty, as:  - The most important is hire plenty of people, since I started always we are under workers.  - Explain people what's a Hampton, with all his meaning. I feel people here works as a Hilton Garden Inn.  - Hire people of knowledge of hospitality and have experience in the industry. If they were heads of Hampton, that would be incredible ( I think none of them have been in a Hampton before).  - Motivate people  - Come back to the origins of HbH as HbH is composite by GM+OM+2Supervisor (one is in charge of rcp+HK and other for F&B & Kitchen) + plenty of GSA but in this hotel we have more ""bosses"" than GSA.",27
fridge,Brand, Hampton Inn,21.4874373711,4.84353702737e-10,35,792,"THE MANAGEMENT HERE ARE VERY LAZY AND DONT DO WHAT IS ASKED WHEN WE DONT HAVE SOMETHING IN STOCK OR THE PROPER ITEMS TO WORK WITH..THE HEAD MAINTENANCE ENGINEER IS VERY LAZZZZY AS WELL.THE BREAKFAST FRIDGE ON THE SECOND HAS BEEN BROKEN FOR THE PAST TWO YEARS AND WE HAVE A FEW BROKEN TABLES IN THE BREAFAST AREA THATS HASN'T BEEN FIXED,THE KITCHEN IS VERY HOTTTT,THE FREEZER ON THE KITCHEN MAKES NOISE.YOGURT FRIDGE DOES NOT STAY CLOSE AFTER BEING USED DURING BREAKFAST.",fridge/microwave in rooms,Rooms really need fridges and microwaves,827
modules,Brand, Hampton Inn,21.4874373711,1.19747227786e-05,17,0,I think the training program for new hires in the front office is very heavy on the computer modules and can cause new hires to disengage. I wonder if there is a program we could implement to break the training up between hands-on shifts at the counter and the related training modules.,"Although not cost efficient, I'm a big fan of cross-training for all staff members. I think it should be mandatory all employees complete the Hilton University training modules for a department different than their own once every year they are employed at the hotel. It increases overall knowledge of the building and company as a whole. Knowledge is power. It also forces employees to have a more well-rounded knowledge of their co-worker's daily tasks and responsibilities.","More comprehensive HR training for managers.  Standardized manual or modules explaining the nuances of particular HR policies as they relate to specific on-the-job scenarios.  Much time, effort and , consequentially, money is wasted on newly on-boarded managers either incorrectly implementing HR practices, or running every decision through a superior.",17
microwaves,Brand, Hampton Inn,18.6224457216,3.05746504334e-06,23,125,fridge/microwave in rooms,Rooms really need fridges and microwaves,"Our Property is old and needs some serious improvements. Elevators that don't scare people to get on, refrigerators & microwaves in all rooms and a guest laundry room top my list currently.",148
remodel,Brand, Hampton Inn,7.75935238399,1.94561101845e-06,81,1448,"Remodeling of this property and new furniture, with a turn down services.","brand new couches and furniture, renovate the lobby a little bit.","Most of the improvements I feel we need are just general maintenance (IE- brighter lobby, new furniture , wallpaper) I'm hoping the renovation will help things like that quite a bit.",1529
carpet,Brand, Hampton Inn,6.82823009791,1.88861282899e-06,100,2600,new furniture for the rooms maybe some new paint,"Supplies are always in short supply.  We often can not find trash bags or other supplies.  I understand being tight on money, but in order to make money as a hotel, $ must be spent.  Cleaning carpets, chairs, and other items should be done regularly.  There's a cost with it, yes, but if the money is not spent, eventually the guests notice the cleanliness and dilapidated environment.  It would be great if money was spent to put Fridges and Microwaves in every room.  The guest would be happier, and less inconvenienced.","we are coming up on 20 years and have been waiting over a year for a PIP. Our rooms are old and need upgraded but after a year nothing has been done. guests are noticing and it is affecting our SALT scores big time. How can we do our job at the front of the house selling and promoting these rooms that just aren't being upgraded with the things Hilton knows we need and have been 'in the works' for so long. I know the desk staff gets tired of always apologizing for our older condition, for the amenities we are lacking. Even something as simple as new carpet can make a TON of difference. We apologize for the same stuff over and over and it is the kind of stuff that can be fixed. The plans have been submitted. Like I said, there is a PIP, but nothing has been done. Maybe because we are still doing amazing for our age, making a lot of money, but sooner or later the bottom is going to drop out. By then it will be too late because our scores and our guests and our pride will have suffered. The waiting just gets tiring. If they're going to do something with us, hotel or staff (as far as a new manager), I just hope it's soon. We have been in limbo for far too long. Hilton buying us and taking over was supposed to bring lots of excitement and improvement, stuff we NEEDED. We've gotten it as far as the support and benefits, but we need improvements if we are to stay a Hampton, if that is the plan.",2700
laundry,Brand, Hampton Inn,5.98578612479,1.32885569253e-07,154,959,we need to improve on us having extra linen always in laundry that would make our job easier and we could complete our rooms much easier. having extra linen all the time would be very awesome for us housekeeping employees.  we also need to improve on our vacuum cleaners some of our vacuum bags are full and they need to be always changed and not always be full. vacuum cleaner always shuts off every couple of minutes because vacuum bags are full and we do not have any extra to change out. also we need new carts. the cart that i was given is broken and wheels do not turn is hard for me to work but i am thankful for what i have and  i make it work. but our job would be very easy if we had new carts and this other extra changes.,dont leave rooms for us to clean at night so we get behind on laundry,"I will say I wish we had one laundry basket cart on each floor to keep in the storage room. For this, housekeepers could use it to go downstairs to get more linen, bring it back to their floor, put it on their cart and return the laundry cart to the storage closet for the next housekeeper. It's easier than taking our carts back down to the laundry room and would save time.",1113
housekeepers,Brand, Hampton Inn,5.69019174826,9.37197511885e-06,118,666,"The housekeeping assistant, (Jason) often gives orders that conflict with those of the hotel GM, making for confusing work days sometimes. He's fond of sitting in the office and not doing much to help unless he's pressed or asked to do so. Jackie from laundry is also allowed to slack off without much being done aside from management telling her over and over to stop to no avail. She gets more hours (overtime) than anyone because she stays late every day even though management is constantly saying ""no overtime"" which results in housekeepers getting three days off a week as opposed to the normal two.","put housekeepers carts on all floors, too crowded in housekeeping room, very small","I will say I wish we had one laundry basket cart on each floor to keep in the storage room. For this, housekeepers could use it to go downstairs to get more linen, bring it back to their floor, put it on their cart and return the laundry cart to the storage closet for the next housekeeper. It's easier than taking our carts back down to the laundry room and would save time.",784
breakfast,Brand, Hampton Inn,5.27050350611,8.73263543243e-09,231,4519,"To improve Hilton I suggest they update each hotel with what make guests unsatisfying. I think guests would like a lunch available or dinner for a price, while continuing serving free breakfast too. In the Hotel that I work for: Hampton Inn Mountain Brook. I suggest to replace another room to convert into a fitness center and convert the fitness center to a business center with one long table and several computers for so more guests have access to computers if need. Converting a room to a better fitness center while keeping a restroom in the new fitness center for guests. Stripping the floors to its whitening color could also improve the hotel. Another thing that could make this hotel better is a guest laundry mat.",I wish we can move gradually to freshly cooked food items for breakfast and dinner.,"better food quality for the guests and team members. I've read a lot of opinions in which our guests complain about the food either from the breakfast or from the restaurant later in the afternoon and as for the team members' food it could improve a lot and  we're not even asking for a fancy menu, something simple, but well done.    And also the cleaning. Houskeeping does a good job, but they can do it better, they just got to put extra attention on some details like not leaving loose hairs after they clean up the rooms or checking if there are not any items that the previous guest left in the fridge.",4750
higher pay,Brand, Hampton Inn,4.93854914164,5.69264257549e-07,217,5632,"The wages do not keep up with the increase in living expenses. For example: Over the last 5 years, with every wage increase, my rent has increased by the same amount plus $20.00. At some point I believe I will be forced out of the job in order to meet basic living expenses. A cost of living increase every five years or so, beyond our usual annual increase, might go a long way in retaining staff. I am not disgruntled, just a realist in looking at the work/life balance and acknowledging that I may not be able to continue if compensation isn't meeting basic needs along with the ability to plan/save for the future. Right now it is just pay check to pay check.",better starting wage and better increases. It takes four years to get a $1 increase per hour in your pay which starts at minimum wage. The insurance benefits are good if you need that. The team members travel rates are great if you can arrange your time off with the available dates. Not much out there if you need to travel on the weekends.,increase salary,5849
General Manager,Brand, Hampton Inn,4.24308889859,5.22183219375e-12,509,8050,my General Manager,my general manager.,General manager,8559
housekeeping,Brand, Hampton Inn,4.21881493464,4.40027134279e-11,469,1829,"The housekeeping assistant, (Jason) often gives orders that conflict with those of the hotel GM, making for confusing work days sometimes. He's fond of sitting in the office and not doing much to help unless he's pressed or asked to do so. Jackie from laundry is also allowed to slack off without much being done aside from management telling her over and over to stop to no avail. She gets more hours (overtime) than anyone because she stays late every day even though management is constantly saying ""no overtime"" which results in housekeepers getting three days off a week as opposed to the normal two.",we need to improve on us having extra linen always in laundry that would make our job easier and we could complete our rooms much easier. having extra linen all the time would be very awesome for us housekeeping employees.  we also need to improve on our vacuum cleaners some of our vacuum bags are full and they need to be always changed and not always be full. vacuum cleaner always shuts off every couple of minutes because vacuum bags are full and we do not have any extra to change out. also we need new carts. the cart that i was given is broken and wheels do not turn is hard for me to work but i am thankful for what i have and  i make it work. but our job would be very easy if we had new carts and this other extra changes.,"put housekeepers carts on all floors, too crowded in housekeeping room, very small",2298
